Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,LOF,cluster,StandardScaler,95.64946933962264,98.6915584792204,99.05714285714285,0.9421589031011757,0.994838104176443,0.9897292250233427,1.0,0.002219676971435547,0.09358477592468262
data_N_BaIoT.csv,DeepSVDD,cluster,StandardScaler,99.84375,99.9685633448601,98.95714285714286,0.9358868057444155,0.9942937543969358,0.9886522617752215,1.0,0.3858306407928467,0.006834745407104492
data_N_BaIoT.csv,HBOS,cluster,StandardScaler,99.90450569968553,99.9813644102729,99.1,0.9448383584439769,0.9950715794414456,0.9901914992993928,1.0,0.014135360717773438,0.03496909141540527
data_N_BaIoT.csv,PCA,cluster,StandardScaler,99.921875,99.98427920138343,99.07142857142858,0.9430526226182914,0.9949159170903402,0.9898832684824903,1.0,0.007767915725708008,0.1015162467956543
data_N_BaIoT.csv,LODA,cluster,StandardScaler,93.47690644654088,97.80578915217438,89.57142857142857,0.601351498774966,0.9397391447911507,0.989224887035106,0.8949685534591195,0.013377666473388672,0.04040789604187012
data_N_BaIoT.csv,ECOD,cluster,StandardScaler,10.732913227201259,81.67218093142097,13.142857142857142,-0.30247159052859535,0.15367483296213807,0.6699029126213593,0.08679245283018867,0.005631923675537109,0.31394124031066895
data_N_BaIoT.csv,COPOD,cluster,StandardScaler,5.723221305031447,79.93968652899936,7.128571428571428,-0.6515816294581651,0.10565414775072225,0.42244224422442245,0.06037735849056604,0.004396200180053711,0.30017638206481934
data_N_BaIoT.csv,AutoEncoder,cluster,StandardScaler,99.921875,99.98427920138343,98.97142857142858,0.9367845528762004,0.9943714821763603,0.9888059701492538,1.0,0.21202325820922852,0.3319094181060791
data_N_BaIoT.csv,DevNet,cluster,StandardScaler,4.6293976022012595,76.6694904072353,8.185714285714285,-0.3098955729250797,0.0,0.0,0.0,0.14368987083435059,0.1029658317565918
data_N_BaIoT.csv,LUNAR,cluster,StandardScaler,99.921875,99.98427920138343,98.87142857142858,0.9304880262935321,0.9938276427845925,0.9877310141326293,1.0,0.6519136428833008,0.11706018447875977
data_N_BaIoT.csv,AE1SVM,cluster,StandardScaler,99.921875,99.98427920138343,99.11428571428571,0.9457303782277005,0.9951494288843686,0.990345686701962,1.0,1.4491961002349854,0.4377114772796631
data_N_BaIoT.csv,ALAD,cluster,StandardScaler,90.80731623427674,98.91505388658679,75.12857142857143,0.3964331078736423,0.8431107506533297,0.9875448596157906,0.7355345911949686,2.4789180755615234,0.015915870666503906
