Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
DeepSVDD,,,98.0206140855282,59.14476909075117,,,Normalizer
PCA,,,97.98036980448298,58.15242389568016,,,Normalizer
LOF,,,97.680365888221,54.70001246218858,,,Normalizer
AE1SVM,,,97.55669558568216,60.76189289315372,,,Normalizer
HBOS,,,97.350353647488,46.78773682878841,,,Normalizer
ALAD,,,97.16195897971984,51.52126691364458,,,Normalizer
IForest,,,97.09739518405136,52.94584801416913,,,Normalizer
OCSVM,,,96.99238895399004,59.95953565130041,,,Normalizer
AutoEncoder,,,96.65425046961774,39.6093689223228,,,Normalizer
ECOD,,,96.11012691790938,33.57258847209791,,,Normalizer
CBLOF,,,95.87784741387694,40.76901899917296,,,Normalizer
LODA,,,95.8729580183138,31.49571376241026,,,Normalizer
COPOD,,,95.7317103908436,30.34084841069331,,,Normalizer
LUNAR,,,95.65758484253016,27.898081955883853,,,Normalizer
KNN,,,95.50714870422334,27.10708041132775,,,Normalizer
ourmodel,Normalizer,30.0,98.59976346743662,76.73337713981442,1.0,2.0,
DevNet,,,99.14171374846607,77.67509563785634,,,Normalizer
DeepSVDD,,,98.0206140855282,59.14476909075117,,,Normalizer
PCA,,,97.98036980448298,58.15242389568016,,,Normalizer
LOF,,,97.680365888221,54.70001246218858,,,Normalizer
AE1SVM,,,97.55669558568216,60.76189289315372,,,Normalizer
HBOS,,,97.350353647488,46.78773682878841,,,Normalizer
ALAD,,,97.16195897971984,51.52126691364458,,,Normalizer
IForest,,,97.09739518405136,52.94584801416913,,,Normalizer
OCSVM,,,96.99238895399004,59.95953565130041,,,Normalizer
AutoEncoder,,,96.65425046961774,39.6093689223228,,,Normalizer
ECOD,,,96.11012691790938,33.57258847209791,,,Normalizer
CBLOF,,,95.87784741387694,40.76901899917296,,,Normalizer
LODA,,,95.8729580183138,31.49571376241026,,,Normalizer
COPOD,,,95.7317103908436,30.34084841069331,,,Normalizer
LUNAR,,,95.65758484253016,27.898081955883853,,,Normalizer
KNN,,,95.50714870422334,27.10708041132775,,,Normalizer
ourmodel,StandardScaler,50.0,99.20486529592188,82.20115482947573,0.0,2.0,
DevNet,,,99.14171374846607,77.67509563785634,,,Normalizer
DeepSVDD,,,98.0206140855282,59.14476909075117,,,Normalizer
PCA,,,97.98036980448298,58.15242389568016,,,Normalizer
LOF,,,97.680365888221,54.70001246218858,,,Normalizer
AE1SVM,,,97.55669558568216,60.76189289315372,,,Normalizer
HBOS,,,97.350353647488,46.78773682878841,,,Normalizer
ALAD,,,97.16195897971984,51.52126691364458,,,Normalizer
IForest,,,97.09739518405136,52.94584801416913,,,Normalizer
OCSVM,,,96.99238895399004,59.95953565130041,,,Normalizer
AutoEncoder,,,96.65425046961774,39.6093689223228,,,Normalizer
ECOD,,,96.11012691790938,33.57258847209791,,,Normalizer
CBLOF,,,95.87784741387694,40.76901899917296,,,Normalizer
LODA,,,95.8729580183138,31.49571376241026,,,Normalizer
