Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
AutoEncoder,,,93.52728950871636,68.31362788062508,,,Normalizer
AE1SVM,,,93.23605894033844,67.11206473500086,,,Normalizer
LOF,,,92.41082937191489,52.41983737527208,,,Normalizer
CBLOF,,,91.02061615209908,59.08569393375896,,,Normalizer
IForest,,,90.69460731200982,64.39027723486215,,,Normalizer
ALAD,,,90.23625512603547,50.56185083930495,,,Normalizer
OCSVM,,,90.18163811134974,49.30235405498797,,,Normalizer
KNN,,,89.5951777416375,66.87125626109824,,,Normalizer
LODA,,,88.18130447836778,43.269897219209525,,,Normalizer
DevNet,,,86.25324831708807,38.76860596740256,,,Normalizer
COPOD,,,84.58889016786338,42.954556195548925,,,Normalizer
ECOD,,,82.37142605582483,35.27151323524034,,,Normalizer
ourmodel,Normalizer,50.0,93.60305686751956,67.16123813582891,5.0,2.0,
LUNAR,,,98.06805370713543,89.02591125482743,,,Normalizer
DeepSVDD,,,96.20049425638943,80.76226106185905,,,Normalizer
HBOS,,,95.97566943373748,80.16333672395692,,,Normalizer
PCA,,,95.81498440408714,78.08510362188615,,,Normalizer
AutoEncoder,,,93.52728950871636,68.31362788062508,,,Normalizer
AE1SVM,,,93.23605894033844,67.11206473500086,,,Normalizer
LOF,,,92.41082937191489,52.41983737527208,,,Normalizer
CBLOF,,,91.02061615209908,59.08569393375896,,,Normalizer
IForest,,,90.69460731200982,64.39027723486215,,,Normalizer
ALAD,,,90.23625512603547,50.56185083930495,,,Normalizer
OCSVM,,,90.18163811134974,49.30235405498797,,,Normalizer
KNN,,,89.5951777416375,66.87125626109824,,,Normalizer
LODA,,,88.18130447836778,43.269897219209525,,,Normalizer
DevNet,,,86.25324831708807,38.76860596740256,,,Normalizer
COPOD,,,84.58889016786338,42.954556195548925,,,Normalizer
ECOD,,,82.37142605582483,35.27151323524034,,,Normalizer
ourmodel,StandardScaler,175.0,94.07696648395314,65.5468892504157,7.0,2.0,
LUNAR,,,98.06805370713543,89.02591125482743,,,Normalizer
DeepSVDD,,,96.20049425638943,80.76226106185905,,,Normalizer
HBOS,,,95.97566943373748,80.16333672395692,,,Normalizer
PCA,,,95.81498440408714,78.08510362188615,,,Normalizer
AutoEncoder,,,93.52728950871636,68.31362788062508,,,Normalizer
AE1SVM,,,93.23605894033844,67.11206473500086,,,Normalizer
LOF,,,92.41082937191489,52.41983737527208,,,Normalizer
CBLOF,,,91.02061615209908,59.08569393375896,,,Normalizer
IForest,,,90.69460731200982,64.39027723486215,,,Normalizer
ALAD,,,90.23625512603547,50.56185083930495,,,Normalizer
OCSVM,,,90.18163811134974,49.30235405498797,,,Normalizer
KNN,,,89.5951777416375,66.87125626109824,,,Normalizer
LODA,,,88.18130447836778,43.269897219209525,,,Normalizer
DevNet,,,86.25324831708807,38.76860596740256,,,Normalizer
COPOD,,,84.58889016786338,42.954556195548925,,,Normalizer
ECOD,,,82.37142605582483,35.27151323524034,,,Normalizer
ourmodel,QuantileTransformer,30.0,90.06206872637748,50.0,12.0,2.0,
LUNAR,,,98.06805370713543,89.02591125482743,,,Normalizer
