Model,data_BoTIoT.csv_AUCROC,data_BoTIoT.csv_AUCPR,data_BoTIoT.csv_Accuracy,data_BoTIoT.csv_MCC,data_BoTIoT.csv_F1 Score,data_CICIoT2023.csv_AUCROC,data_CICIoT2023.csv_AUCPR,data_CICIoT2023.csv_Accuracy,data_CICIoT2023.csv_MCC,data_CICIoT2023.csv_F1 Score,data_N_BaIoT.csv_AUCROC,data_N_BaIoT.csv_AUCPR,data_N_BaIoT.csv_Accuracy,data_N_BaIoT.csv_MCC,data_N_BaIoT.csv_F1 Score,data_ToNIoT.csv_AUCROC,data_ToNIoT.csv_AUCPR,data_ToNIoT.csv_Accuracy,data_ToNIoT.csv_MCC,data_ToNIoT.csv_F1 Score
IForest,94.54280564,98.81551705,85.15714286,0.513245428,0.911521758,99.09502262,99.94102904,99.57142857,0.927602043,0.99779217,96.9700834,99.25609372,98.84285714,0.931946511,0.993639576,86.46753206373883,97.99259893398346,63.98571428571429,0.3128714156047352,0.750519544779812
KNN,99.93055556,99.98407897,98.9,0.939042787,0.993909673,99.09502262,99.94102904,99.67142857,0.944932881,0.998306458,99.70282318,99.93681883,99.08571429,0.946489113,0.994967762,99.951641404327,99.99333746604523,98.61428571428571,0.9281249077102892,0.99226906830318
LODA,77.22635793,95.69691174,98.87142857,0.937427002,0.993752471,68.83381537,96.55418747,3.685714286,-0.120335772,0.015766423,96.96942583,98.8942042,98.91428571,0.936239154,0.994029851,98.66492550848557,99.62939758570012,98.74285714285716,0.9348775680621492,0.992977976380466
LOF,99.93055556,99.98407897,99.35714286,0.964662405,0.996431687,99.32126697,99.95576526,99.71428571,0.952274573,0.998527029,99.70282318,99.93681883,99.07142857,0.94563773,0.994889535,99.99894286824716,99.99986811998866,98.67142857142858,0.931153335231744,0.9925855058598422
MO_GAAL,99.70104634,99.93685872,94.5,0.72811998,0.969108561,76.62932087,98.9498036,57.65714286,0.166649072,0.720535546,94.68279801,99.4791903,94.0,0.708027009,0.966243369,97.56328021764476,99.61685846601117,96.75714285714284,0.8400378847283466,0.9816979762960574
OCSVM,99.93055556,99.98407897,98.62857143,0.923620261,0.992418259,98.19004525,99.8821276,99.65714286,0.94247439,0.998232955,99.62852897,99.92103601,98.95714286,0.938808522,0.994264163,99.97775877704366,99.99703694830072,98.65714285714286,0.9303967933405154,0.9925063775510204
PCA,99.86111111,99.96816301,98.48571429,0.915436265,0.991635101,99.09502262,99.94102904,99.48571429,0.912514164,0.997351773,99.33135215,99.85795455,98.94285714,0.937952581,0.994186047,99.0918823681824,99.87255995668065,98.6,0.9273668557256276,0.992189990436723
SO_GAAL,99.92526158,99.9842072,96.35714286,0.80408402,0.979715218,99.17355372,99.9408459,99.78571429,0.967439469,0.998891434,99.92420658,99.98422464,99.01428571,0.941176914,0.994587811,97.96763311309752,99.61822557574364,97.34285714285714,0.8649085423206212,0.9850626405396724
VAE,99.92526158,99.9842072,98.97142857,0.938737385,0.994352055,99.79338843,99.98520491,99.7,0.954145773,0.998448696,99.62121212,99.92119779,99.02857143,0.942046332,0.99466583,99.09749967612385,99.87327148791766,98.71428571428572,0.9334207153581005,0.992822966507177
Thua bao nhieu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
