Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,AE1SVM,Normalizer,3,39.57128793584896,87.19514981432283,25.628587045640888,0.0694819203463239,0.286743987943123,0.9338454972257788,0.1693760644062548,27.30973529815674,1.2212512493133545
data_ToNIoT.csv,AE1SVM,Normalizer,5,40.44067207482822,86.92810097076656,25.36212079803225,0.0720036710294667,0.2814103407446389,0.9365148861646234,0.1655829075708314,27.95006108283997,1.305567741394043
data_ToNIoT.csv,AE1SVM,RobustScaler,0,55.11470129216599,88.4649908248065,14.013391637059303,-0.093516037127594,0.0742920191246781,0.7459379615952733,0.0390927388140579,25.587210178375244,1.2150704860687256
data_ToNIoT.csv,AE1SVM,RobustScaler,1,70.50980970502394,91.60001635449008,13.712763050013663,-0.1025930414852282,0.0681767874271379,0.7275590551181103,0.0357640501625638,25.81865191459656,1.1010746955871582
data_ToNIoT.csv,AE1SVM,RobustScaler,3,60.37144207368013,89.27954058240151,14.525826728614376,-0.0792329764230557,0.0845894921703497,0.7727272727272727,0.0447437683851989,26.117656230926517,1.0256414413452148
data_ToNIoT.csv,AE1SVM,RobustScaler,5,49.60260664519335,87.2174739165144,19.40420880021864,-0.0026395622852418,0.1804918716131721,0.8800813008130082,0.1005573618207152,25.78825044631958,1.1018905639648438
data_N_BaIoT.csv,AE1SVM,QuantileTransformer,0,99.7635954290429,99.975122132697,98.95379862378878,0.936737812092094,0.9942581888246628,0.9896816263904872,0.9988772744870306,40.631795167922974,2.2815871238708496
data_N_BaIoT.csv,AE1SVM,QuantileTransformer,1,98.49646010186014,99.83564256217458,95.2850723213032,0.7662777798680255,0.9735583075741764,0.9905051880934256,0.9571815718157182,41.354651927948,2.115220308303833
data_N_BaIoT.csv,AE1SVM,QuantileTransformer,3,96.43189587240904,99.54975968875652,88.9446706923185,0.6023940965529195,0.9355940523183278,0.991718336729827,0.8854819976771197,40.92575669288635,2.2124714851379395
data_N_BaIoT.csv,AE1SVM,QuantileTransformer,5,96.341365679778,99.51235220433236,78.97065018958011,0.4548845817225916,0.869799591357649,0.9916732751784298,0.7746031746031746,40.31980705261231,2.103801965713501
data_N_BaIoT.csv,AE1SVM,MinMaxScaler,0,99.93328777499312,99.9926151682383,98.99266435014566,0.9394361002230536,0.99447407435932,0.9890088848039216,1.0,44.426706314086914,2.5878231525421143
