AUCROC,scaler,nCluster
73.45670659656325,MinMaxScaler,22
73.41818439551673,StandardScaler,310
72.87356453579359,StandardScaler,184
72.42098090146743,MinMaxScaler,16
72.22433348868199,QuantileTransformer,106
71.57361130905565,QuantileTransformer,160
71.52073935333301,QuantileTransformer,19
71.46888512430105,StandardScaler,298
70.71329492983513,Normalizer,22
70.69598782622548,QuantileTransformer,127
70.28044484354493,RobustScaler,58
69.89577482043737,Normalizer,19
69.48891030565763,Normalizer,4
69.28847564627945,QuantileTransformer,28
68.98877526041728,Normalizer,19
68.63141327853121,QuantileTransformer,13
68.61074825182921,Normalizer,10
68.54457876733096,Normalizer,7
68.2559871270415,Normalizer,13
68.0483306330674,Normalizer,13
68.04360232469475,MinMaxScaler,7
68.01104082046174,Normalizer,28
67.95770887527439,Normalizer,10
67.90452259341754,Normalizer,16
67.87986140824088,Normalizer,43
67.72964034880388,Normalizer,70
67.66621738473451,Normalizer,49
67.60087396464995,StandardScaler,193
67.59867943157876,Normalizer,25
67.52621575790509,Normalizer,73
67.52426463592562,Normalizer,31
67.51420619963068,Normalizer,148
67.4618977310023,Normalizer,94
67.43258873560933,Normalizer,34
67.3978710307605,Normalizer,40
67.36442213018515,Normalizer,16
67.32275858441923,Normalizer,37
67.29828714489678,Normalizer,40
67.29185879212747,Normalizer,79
67.27155409050614,Normalizer,52
67.24374772736455,Normalizer,103
67.18606121524464,Normalizer,67
67.17675026182984,Normalizer,70
67.14839191133059,Normalizer,46
67.13874938217666,Normalizer,37
67.13134163517208,Normalizer,46
67.13008624725798,Normalizer,64
67.1062089607941,QuantileTransformer,16
67.08980075326342,Normalizer,76
67.08058179774157,Normalizer,82
67.07743853639938,Normalizer,67
67.07486259539704,Normalizer,76
67.07433744075814,Normalizer,25
67.05265277074271,Normalizer,61
67.04496328019101,Normalizer,103
67.04046304992795,Normalizer,31
67.02347793894361,Normalizer,79
67.02223213414335,Normalizer,43
66.9992096614347,Normalizer,73
66.99112534659247,Normalizer,34
66.98181822642323,Normalizer,49
66.96651207698507,Normalizer,55
66.95611248183712,Normalizer,52
66.94756051103909,Normalizer,61
66.9364824314307,Normalizer,91
66.92998508024172,Normalizer,115
66.92801479203455,Normalizer,85
66.91527308386213,Normalizer,91
66.87068093850424,Normalizer,112
66.86941213423076,Normalizer,88
66.8304126941146,QuantileTransformer,52
66.819411279417,Normalizer,82
66.81864463030915,Normalizer,88
66.81284109656276,Normalizer,85
66.7854487239394,Normalizer,97
66.75806785105266,Normalizer,100
66.74792508335584,Normalizer,64
66.66056925076226,Normalizer,28
66.64377963530042,Normalizer,55
66.62255495474969,Normalizer,58
66.57497096124841,Normalizer,100
66.53455130365998,Normalizer,58
66.50349243167834,Normalizer,121
66.49706216228628,Normalizer,97
66.48837219464883,Normalizer,94
66.37874520547231,Normalizer,124
66.37564794307661,Normalizer,142
66.3496834544166,Normalizer,154
66.30013683919925,Normalizer,106
66.28419437100159,Normalizer,109
66.22640627787487,Normalizer,151
66.18117206388916,Normalizer,118
66.14614386615166,Normalizer,22
66.14120281265158,Normalizer,127
66.07976163652597,Normalizer,133
65.97017106318208,Normalizer,145
65.96499234845858,Normalizer,130
65.95456017072355,Normalizer,136
65.75937705773411,Normalizer,139
65.57679573945491,QuantileTransformer,115
63.44806799441602,Normalizer,4
63.13830342239062,Normalizer,124
63.06524176241284,Normalizer,1
63.02996632033804,MinMaxScaler,13
62.98319114164555,Normalizer,148
62.848851218477584,Normalizer,121
62.831275787680205,Normalizer,166
62.82726237960063,Normalizer,118
62.796995072822845,Normalizer,115
62.716508416235584,Normalizer,109
62.66812135779383,Normalizer,106
62.66794502849903,Normalizer,136
62.64113914244318,Normalizer,127
62.59594709415839,Normalizer,130
62.58850868118952,Normalizer,253
62.55667932685449,Normalizer,133
62.54710579612025,Normalizer,112
62.54233340542391,Normalizer,151
62.518168625544575,Normalizer,154
62.504629602300014,Normalizer,139
62.464436106198384,Normalizer,235
62.408625967769936,Normalizer,205
62.40178170785961,Normalizer,202
62.33435683544728,Normalizer,142
62.25238096296801,Normalizer,241
62.24331917051327,Normalizer,172
62.23031871826695,Normalizer,208
62.187474532874965,Normalizer,199
62.17691777465991,Normalizer,259
62.15882293909194,Normalizer,145
62.15557043025191,Normalizer,190
62.14401894481944,Normalizer,163
62.13492073653206,Normalizer,160
62.10180532831863,Normalizer,223
62.09232954534565,Normalizer,232
62.04841396782543,Normalizer,220
62.03747580167921,Normalizer,193
62.02658746772504,Normalizer,184
62.007035998852174,Normalizer,196
61.98763210993259,Normalizer,178
61.96326416803966,Normalizer,187
61.96110221755555,Normalizer,214
61.94869016849951,Normalizer,211
61.90891641278442,Normalizer,262
61.906972957296034,Normalizer,217
61.899064971748594,Normalizer,169
61.873318978084335,Normalizer,256
61.86944548346695,Normalizer,157
61.855657299262326,Normalizer,181
61.8283760907596,Normalizer,250
61.815247224787726,Normalizer,229
61.80455630297881,Normalizer,274
61.78084959594143,QuantileTransformer,79
61.77746484013028,Normalizer,247
61.776803605274765,Normalizer,265
61.76215677406936,Normalizer,226
61.74365369785148,Normalizer,175
61.71674814741159,Normalizer,244
61.68983109723511,Normalizer,238
61.67196817302227,Normalizer,268
61.42201373114552,Normalizer,271
61.37096640029955,Normalizer,277
61.34399951793104,Normalizer,7
60.10450807308344,Normalizer,184
59.69331390746713,Normalizer,253
59.49154911188684,Normalizer,169
59.48937757828886,Normalizer,190
59.42228619823844,Normalizer,157
59.41334515301817,Normalizer,220
59.39199972523296,Normalizer,214
59.37109320406199,Normalizer,166
59.35727435389304,QuantileTransformer,124
59.34416082090333,Normalizer,241
59.319244724898326,Normalizer,244
59.31140190452505,Normalizer,160
59.27972013014328,Normalizer,217
59.26888354500388,Normalizer,178
59.2676645729224,Normalizer,199
59.255896509116944,Normalizer,202
59.22870346526163,Normalizer,229
59.19655786816963,Normalizer,172
59.172676748460205,Normalizer,196
59.15684161113764,Normalizer,232
59.15626662430675,Normalizer,187
59.15096907897153,Normalizer,175
59.13560926409581,Normalizer,208
59.10992651898295,Normalizer,247
59.10718958166795,Normalizer,211
59.09511869146491,Normalizer,277
59.08343687568408,Normalizer,181
59.075350644219085,Normalizer,226
59.03977045912392,Normalizer,193
59.0242228152168,Normalizer,163
59.00370345184529,Normalizer,223
58.9902717594758,Normalizer,262
58.98254010322317,Normalizer,1
58.92739694951854,Normalizer,274
58.89946983914245,Normalizer,235
58.89357047425759,Normalizer,268
58.775458596079964,Normalizer,271
58.76249072642074,Normalizer,256
58.7281199302932,Normalizer,238
58.69674098230904,Normalizer,205
58.64365053159064,Normalizer,259
58.561274084952544,Normalizer,250
58.500313981142114,Normalizer,265
55.33296069075697,QuantileTransformer,121
52.6464133049806,QuantileTransformer,94
