Dataset,scaled,Model,AUCROC,AUCPR,MCC,Accuracy,F1 Score,Precision,Recall
data_CICIoT2023.csv,MinMaxScaler,DASVDD,79.47650247317168,99.11697247753196,0.1341080219893534,52.29274828336962,0.675417606709054,0.9927647886380384,0.5118118394695034
data_CICIoT2023.csv,MinMaxScaler,SUOD,61.77580312818903,97.7339917919123,0.0534969932093942,37.58499413833529,0.5301326340208785,0.9820627802690582,0.3630586447468398
data_CICIoT2023.csv,MinMaxScaler,NeuTraLAD,89.84586098029735,99.64661314501976,0.1740485210522964,52.97605091274493,0.6800665436065724,0.9995980438132244,0.5153346687849693
data_CICIoT2023.csv,MinMaxScaler,DIF,81.85395227164646,99.2859568517895,0.1489878157579008,52.54731200803885,0.6771495635924432,0.995310511154284,0.5131242660772259
data_CICIoT2023.csv,Normalizer,LUNAR,34.45130961683874,96.18514709681376,0.0267775173155577,14.376151398425725,0.2126951861775847,0.982361308677098,0.1192581335912136
data_CICIoT2023.csv,Normalizer,DASVDD,48.80703265626207,96.52287720453958,-0.0035588167761472,49.87774242170491,0.6588390862249783,0.9692111617923262,0.4990329488153623
data_CICIoT2023.csv,Normalizer,SUOD,34.21729955978242,96.13984977235476,0.0127044741394274,15.00251214201976,0.2243550556302726,0.975544922913344,0.1267527802721558
data_CICIoT2023.csv,Normalizer,NeuTraLAD,70.54309499464763,98.16594250129074,0.0882862055705673,51.2979400435438,0.6681426028210161,0.984993270524899,0.5055260067693583
data_CICIoT2023.csv,Normalizer,DIF,31.32308226367256,95.67557713685464,-0.117282177995053,47.99196114553676,0.6461566509423213,0.9497554766530448,0.4896387373074532
data_CICIoT2023.csv,RobustScaler,LUNAR,90.05311881673536,99.66520319103644,0.2806793994993105,77.08256573438284,0.8662470188059584,0.998018018018018,0.7652137873868895
data_CICIoT2023.csv,RobustScaler,DASVDD,17.423592108328744,94.26378144667072,-0.1764097795490178,46.980405292245855,0.6392744012214854,0.9396395792858578,0.4844235684188713
data_CICIoT2023.csv,RobustScaler,SUOD,59.3228288094775,97.63744776020484,0.0392671403365227,33.28085747780941,0.4808840009382085,0.9797175321227568,0.3186433653381225
data_CICIoT2023.csv,RobustScaler,NeuTraLAD,89.29890284079526,99.64044182308228,0.1760063886534211,53.0095461396751,0.6802944326701762,0.999933007302204,0.5155073564965117
data_CICIoT2023.csv,RobustScaler,DIF,77.71632403712513,99.2130311325784,0.176397962173646,53.01624518506113,0.6803400104828969,1.0,0.5155418940388202
data_BoTIoT.csv,QuantileTransformer,LUNAR,99.89299952251656,99.9817245067769,0.968402123605688,99.46662018476556,0.997064410291832,0.9942220861712712,0.9999230325187608
data_BoTIoT.csv,QuantileTransformer,DASVDD,98.99513251947349,99.8772155577168,0.3204232628172032,59.35506362210214,0.7108884866218662,0.9994421977409008,0.5516259380411777
data_BoTIoT.csv,QuantileTransformer,SUOD,86.28988519017382,97.23713594836158,0.252578326811123,61.68380686770089,0.737465663442016,0.972103274559194,0.5940735039445834
data_BoTIoT.csv,QuantileTransformer,NeuTraLAD,99.44168145440032,99.92044419850126,0.3213783581978671,59.38295276276799,0.7110868648796091,0.9997210988704504,0.5517798730036559
