Dataset,scaled,Model,AUCROC
data_BoTIoT.csv,Normalizer,LUNAR,96.89372501229342
data_BoTIoT.csv,Normalizer,DASVDD,51.44323505726237
data_BoTIoT.csv,Normalizer,SUOD,70.99132690512333
data_BoTIoT.csv,Normalizer,NeuTraLAD,53.489796820102775
data_BoTIoT.csv,Normalizer,DIF,32.71563223797205
data_BoTIoT.csv,RobustScaler,LUNAR,99.32124088683642
data_BoTIoT.csv,RobustScaler,DASVDD,73.94489128343275
data_BoTIoT.csv,RobustScaler,SUOD,69.21627862228209
data_BoTIoT.csv,RobustScaler,NeuTraLAD,98.9808942481061
data_BoTIoT.csv,RobustScaler,DIF,91.539122998311
